HUD_ID,Property Name,Have PDF?,Have PDF for management,Property Address,City,State,lat,lng,walkscore,Subsidy End Date,Total Units,Active Subsidies,Owner,Owner Type,Management,Building Contact/Source,uri
,4106 Military Rd NW,N,N,4106 Military Rd NW,Washington,DC,38.9607018,-77.0806778,88,3/22/2005,5,0,,,,,
,4180 Livingston Rd SE (Salihi Halefizullah),N,N,4180 Livingston Rd SE,Washington,DC,38.829212,-77.00318,55,,NA,NA,,,,,
,4221 12th Pl NE,N,N,4221 12th Pl NE,Washington,DC,38.9415426,-76.98899,73,3/22/2000,5,0,,,,,
,440 Hunt Pl NE,N,N,440 Hunt Pl NE,Washington,DC,38.9006586,-76.9366767,66,,NA,NA,,,,,
,4427 Hayes St,N,N,4427 Hayes St NE,Washington,DC,38.899504,-76.937798,64,5/10/2010,32,0,,,,,
,501 32nd St,N,N,501 32nd St,Washington,DC,38.88258,-76.961646,23,,NA,NA,,,,,
,5024 H St SE,N,N,5024 H St SE,Washington,DC,38.878886,-76.930513,70,,NA,NA,,,,,
,5030 First St NW,N,N,5030 First St NW,Washington,DC,38.951679,-77.012123,59,,NA,NA,,,,,
,524 Kenyon St NW,N,N,524 Kenyon St NW,Washington,DC,38.929886,-77.0208169,87,,NA,NA,,,,,
,526 Kenyon St NW,N,N,526 Kenyon St NW,Washington,DC,38.92985,-77.020998,87,,NA,NA,,,,,
,5311 8th St NW,N,N,5311 8th St NW,Washington,DC,38.954655,-77.023648,82,,NA,NA,,,,,
,5320 8th St NW,N,N,5320 8th St NW,Washington,DC,38.9549124,-77.0242977,83,,NA,NA,,,,,
,5401-5407 9th St NW,N,N,5401-5407 9th St NW,Washington,DC,38.955382,-77.025376,83,,NA,NA,,,,,
800219652,54th Street Housing,N,Y,431 54th St SE,Washington,DC,38.8822935,-76.924465,59,11/30/2014,8,1,54th Street Corporation,Non-Profit,Weil Enterprises,http://section-8-housing.findthebest.com/l/2757/54th-Street-Housing,
,610 Upshur St NW,N,N,610 Upshur St NW,Washington,DC,38.941826,-77.020829,85,3/22/2000,6,0,,,,,
,624 Rock Creek Church Rd NW,N,N,624 Rock Creek Church Rd NW,Washington,DC,38.936925,-77.020348,85,3/22/2000,6,0,,,,,
800210663,636 Cooperative Apartments,N,N,636 12th St NE,Washington,DC,38.89837,-76.990641,89,5/1/2040,16,1,636 Cooperative Assocation,,,,
,706 Brandywine St SE,N,N,706 Brandywine St SE,Washington,DC,38.830351,-76.995746,57,3/22/2005,10,0,,,,,
,A Street Manor Cooperative,N,N,4920 A St SE,Washington,DC,38.888404,-76.931412,52,,NA,NA,,,,,
,Agape Apartments,N,N,209 Atlantic St SE,Washington,DC,38.830658,-77.003105,65,6/16/2020,11,1,Residing In Group Homes Together (RIGHT) Inc,,,,
800003669,Allen House Apartments,N,Y,3760 Minnesota Ave NE,Washington,DC,38.891704,-76.952076,76,5/1/2044,96,2,Upper Room Housing Corporation,Non-Profit,Equity Management,http://www.equitymgmt.com/apartments/washington-dc-apartment-rentals/allen-house/,
800003671,Anchor Housing,N,N,1609 Lawrence St NE,Washington,DC,38.931698,-76.98202,73,12/20/2014,9,1,Anchor Housing Corporation,Non-Profit,First Priority Management,http://section-8-housing.findthebest.com/l/2492/Anchor-Housing,
,Anna Cooper House,N,N,1336 R St NW,Washington,DC,38.9125921,-77.0311127,97,,52,NA,So Others Might Eat,Non-Profit,So Others Might Eat,http://some.org/services/,
,Arboretum Place (Resub),N,N,1600 Maryland Ave NE,Washington,DC,38.9015306,-76.9807908,90,11/1/2052,257,1,,,,,
DC001005220,Arthur Capper Phase I (Capper Senior I),N,Y,900 5th St SE,Washington,DC,38.8788771,-76.9994963,93,12/31/2021,162,2,Mid-City Urban/Forest City/DCHA,For Profit,Edgewood Management Corporation,http://www.edgewoodmgmt.com/Property-Search.aspx,
800003672,Asbury Dwellings,N,Y,1616 Marion St NW,Washington,DC,38.9115796,-77.020939,91,11/1/2043,147,2,Asbury Dwellings Inc,Non-Profit,Edgewood Management Corporation,,
800003673,Atlantic Gardens,N,Y,4216 4th St SE,Washington,DC,38.827885,-76.999947,62,7/1/2026,108,2,Washington Rehabilitation Associates,For Profit,Winn Managed Properties LLC,http://www.winncompanies.com/winnresidential/propertysearch,
,Atlantic Terrace,N,Y,4301 3rd St SE,Washington,DC,38.828117,-77.002608,63,,NA,NA,,,Winn Managed Properties LLC,http://www.winncompanies.com/winnresidential/propertysearch,
,Augusta Louisa Apartments,N,N,216 New York Ave NW,Washington,DC,38.9053468,-77.01428,91,5/26/2015,26,1,Northwest Church Family Network,,,,
800003674,Azeeze Bates,N,N,1521 F St NE,Washington,DC,38.8966516,-76.9827089,85,11/30/2026,92,2,Sunrise Dev Corporation,For Profit,Horning Brothers,http://section-8-housing.findthebest.com/l/2495/Azeeze-Bates,
,Banneker Place Apartments,N,N,410 Ridge Rd SE,Washington,DC,38.8846843,-76.9479824,45,,NA,NA,,,,,
,Barnaby House,N,N,740 Barnaby St SE,Washington,DC,38.829526,-76.99489,62,,11,NA,So Others Might Eat,Non-Profit,So Others Might Eat,http://some.org/services/,
800239073,Barnaby Manor (The Gregory),N,N,840 Barnaby St SE,Washington,DC,38.831494,-76.993683,43,12/31/2016,126,1,Chesapeake Development LP,For Profit,,,
DC001003090,Barry Farm Dwellings,N,N,1230 Summer Road SE,Washington,DC,38.860661,-76.996697,40,,454,1,DC Housing Authority,,,,
,Bates Street Townhomes Cooperative,N,N,24 Bates St NW,Washington,DC,38.91019,-77.0100269,87,,5,NA,,,,http://www.micasa-inc.org/html/completed_projects.html,
800239367,Bedford Falls,N,N,350 50th St SE,Washington,DC,38.884378,-76.930533,64,,78,NA,So Others Might Eat,Non-Profit,So Others Might Eat,http://some.org/services/,
800003678,Beecher Cooperative,N,N,2307 41st St NW,Washington,DC,38.921378,-77.080488,61,4/30/2021,26,1,Beecher Cooperative,Non-Profit,Beecher Cooperative,http://section-8-housing.findthebest.com/l/2497/Beecher-Cooperative,
800214475,Belmont Crossing (Jeffrey Garden),N,N,4201 7th St SE,Washington,DC,38.8288992,-76.9966562,62,12/31/2017,273,1,KSI Services Inc,,Kettler Management,http://www.kettler.com/apartments/belmont_crossing,
800003679,Benning Courts,N,N,1703 Benning Rd NE,Washington,DC,38.8993096,-76.9792671,91,8/31/2016,97,1,Gales Place Associates,For Profit,Horning Brothers,http://section-8-housing.findthebest.com/l/2498/Benning-Courts,
800003680,Benning Heights,Y,Y,4806 Alabama Ave SE,Washington,DC,38.8820337,-76.9393326,57,6/1/2030,148,2,Benning Heights LP,For Profit,Winn Managed Properties LLC,http://www.winncompanies.com/winnresidential/propertysearch,https://www.dropbox.com/sh/u68yc8fqg5f9oe0/AAChFKmUoAMzWFMSNDjGuoZ-a/BenningHeights2013.pdf
800003681,Benning Park Terrace,N,Y,5113 Fitch St SE,Washington,DC,38.880769,-76.9283878,56,11/30/2014,281,1,Benning Park Neighborhood Corp,Non-Profit,Edgewood Management Corporation,http://www.edgewoodmgmt.com/Property-Search.aspx,
800025216,Benning Road Apartments,N,N,4461 Benning Rd SE,Washington,DC,38.88963,-76.9375194,59,3/23/2032,86,1,Benning Road Cooperative Association Inc,,NMI Property Management LLC,,
DC001002220,Benning Terrace,N,N,4450 G St SE,Washington,DC,38.880565,-76.936846,66,,285,1,DC Housing Authority,,,,
,Broadcast Center Progressi,N,N,7th St NW,Washington,DC,38.9029493,-77.021878,98,9/1/2053,205,1,,,,,
,Brookland Artspace Lofts,N,Y,3305 8th St NE,Washington,DC,38.9305865,-76.9946184,80,12/31/2026,39,1,Brookland Artspace Lofts LLC,For Profit,Edgewood Management Corporation,http://www.artspace.org/our-places/brookland-artspace-lofts,
800003675,Brookland Manor (Brentwood Village),N,Y,2400 14th St NE,Washington,DC,38.9213708,-76.9845775,79,10/31/2015,535,2,Brentwood Associates,For Profit,Edgewood Management Corporation,http://www.brooklandmanor.com/Contact-Us.htm,
,Brookland Park Apartments,N,N,2912 7th St NE,Washington,DC,38.927009,-76.996544,80,12/31/2015,79,1,Copland Associates LP/CCA-Hamlin St LP,For Profit,,,
,Burke Park Apartments,N,N,1111 Massachusetts Ave NW,Washington,DC,38.904855,-77.027399,96,12/31/2015,160,1,Peak Holdings Group LLC,For Profit,,,
800003684,Capital Commons,N,Y,4202 13th St NW,Washington,DC,38.9425007,-77.0302693,82,4/30/2015,40,1,NBC-USA Housing Inc Twenty-four,Non-Profit,Taliafaro Inc,http://section-8-housing.findthebest.com/l/2502/Capital-Commons,
DC001001117,Capital Gateway G,N,N,10 56th Pl SE,Washington,DC,38.888871,-76.920203,64,,4,1,DC Housing Authority,,,,
,Capital Gateway Single Family Rental,N,N,250 58th St NE,Washington,DC,38.892416,-76.9177988,57,12/31/2021,86,1,A&R Management Inc,For Profit,,,
800003686,Capital Manor Cooperative ,N,N,1436 W St NW,Washington,DC,38.918875,-77.033497,97,1/31/2018,102,1,Capital Manor Cooperative,Non-Profit,NDC Real Estate Management,http://www.ndcrealestate.com/new3/Apartments/VA%20and%20DC/Capital/capital.htm,
DC001005270,Capital Quarters,N,N,816 3rd St SE,Washington,DC,38.8795245,-77.0020215,90,,39,1,DC Housing Authority,,,,
800236154,Capitol East Apartments,N,N,31000 Capitol E Partners L,Washington,DC,38.898012,-77.028519,90,4/1/2047,119,1,,,,http://www.capitaleastapartments.com/,
DC001005230,Capitol Gateway,N,N,5741 Blaine St NE,Washington,DC,38.890689,-76.918938,62,,57,1,DC Housing Authority,,,,
,Capitol Gateway Senior Estates,N,N,201 58th St NE,Washington,DC,38.891458,-76.91638,56,12/31/2019,151,1,East Capitol Gateway Senior Rental LP,For Profit,Kettler Management,http://www.kettler.com/apartments/capitol_gateway,
800003685,Capitol Hill Apartments,N,N,900 G St NE,Washington,DC,38.8992924,-76.9938778,90,2/29/2032,204,1,New Capitol Hill Towers Associates LLC,For Profit,Abel Bishop Clarke Realty,http://section-8-housing.findthebest.com/l/2503/Capitol-Hill-Towers,
800218273,Capitol Hill Tower Co-Op,N,N,1000 New Jersey Ave SE,Washington,DC,38.8782218,-77.0042787,88,3/1/2051,344,1,,,EJF Managed Properties,http://www.capitolhilltower.com/,
800238655,Capitol Park Plaza and Twin Towers,Y (Conventional Only),Y,103 G St SW,Washington,DC,38.8815999,-77.0129591,59,11/1/2044,648,1,Wilson Securities,,Edgewood Management Corporation (Vantage Management),http://www.capitolparkplaza.com/contact.aspx,
,Capitol View Plaza,N,N,103 58th St SE,Washington,DC,38.8887209,-76.917792,64,,92,0,DC Housing Authority,,,,
DC001005250,Capper Senior II Apartments,N,Y,400 M St SE,Washington,DC,38.877166,-77.0001174,92,,NA,NA,,,Edgewood Management Corporation,http://www.edgewoodmgmt.com/Property-Search.aspx,
800003689,Carmel Plaza North,N,N,200 K St NW,Washington,DC,38.9022186,-77.0147473,92,7/7/2017,133,1,Carmel Plaza North Associates LLP,For Profit,WHH Trice & Co,http://section-8-housing.findthebest.com/l/2505/Carmel-Plaza-North,
DC001003363,Carroll Apartments,N,N,410 M St SE,Washington,DC,38.8766181,-76.9999865,92,,96,1,DC Housing Authority,,,,
800003690,Carver Hall Apartments,N,N,2338 Pitts Pl SE,Washington,DC,38.859723,-76.985248,56,1/1/2035,95,2,Carver Hall LP,For Profit,Horning Brothers,http://www.horningbrothers.com/Carver-Hall-Apartments.htm,
800220889,Carver Terrace Apartments,N,N,2026 Maryland Ave NE,Washington,DC,38.9030791,-76.9753127,79,12/31/2018,312,1,Telesis Corporation,For Profit,The CT Group,http://thectgroupllc.com/CarverTerrace.html,
,Cas Associates,N,N,1464 Girard St NW,Washington,DC,38.9253599,-77.0342992,88,,NA,NA,,,,,
800000023,Casa Iris,N,N,2201 12th St NW,Washington,DC,38.919538,-77.027773,98,3/31/2017,40,1,NHCOA Housing Of DC Inc,Non-Profit,NHCOA Housing Of DC Inc,,
,CEMI - Bethune House,N,N,401 Chaplin St SE,Washington,DC,38.884527,-76.9426019,50,,NA,NA,,,,,
800239366,Chabraja House Apartments,N,N,3828 S Capitol St SE,Washington,DC,38.8343525,-77.0078804,59,2/6/2031,53,1,So Others Might Eat,Non-Profit,So Others Might Eat,http://some.org/services/,
,Champlain Court Cooperative,N,N,2201 Champlain St NW,Washington,DC,38.920075,-77.040508,97,,NA,NA,,,EJF Managed Properties,http://ejfrealestate.com/learn-about-ejf/ejf-managed-properties,
800218204,Chapin Street Apartments ,N,N,1474 Chapin St NW,Washington,DC,38.92121,-77.03446,92,5/1/2039,15,2,Development Corporation Of Columbia Heights,Non-Profit,,,
800024749,Chastleton Apartments,N,N,1701 16th St NW,Washington,DC,38.9128671,-77.0358456,95,8/1/2046,300,1,,,Keener Management,https://chastletonresidents.buildinglink.com/V2/Global/Login/Login.aspx?SSLFrom=http://www.chastletonresidents.com&SSLReturnUrl=%2fv2%2fdefault.aspx&ts=635559451763482687,
800214050,Chesapeake Crest (Madison Court),N,N,18 Chesapeake St SW,Washington,DC,38.8288485,-77.0085584,66,12/31/2015,78,1,William C Smith & Co,For Profit,William C Smith & Co,,
800239368,Chesapeake House,N,N,730 Chesapeake St SE,Washington,DC,38.8292166,-76.9957041,62,6/1/2048,22,1,So Others Might Eat,Non-Profit,So Others Might Eat,http://some.org/services/,
800003762,CHHI House (Otis House),N,N,1203 1/2 Otis St NE,Washington,DC,38.934244,-76.990757,87,7/1/2022,6,2,Community Housing For The Hearing Impaired,Non-Profit,National Health Care Foundation For The Deaf Inc,http://section-8-housing.findthebest.com/l/2552/Chhi-House,
,Christ House (Kairos House),N,N,2544 17th St NW,Washington,DC,38.924252,-77.03939,96,,NA,NA,,,,http://christhouse.org/services-2/kairos-house/,
800003807,Christopher Price House (Belmont Apartments),Y,Y,1301 Belmont St NW,Washington,DC,38.9213369,-77.0301101,93,7/1/2041,20,2,Belmont Independent Living Inc,Non-Profit,Weil Enterprises,http://section-8-housing.findthebest.com/l/2575/Christopher-Price-House,
800233007,City Market At O Street,N,Y,800 P Street Northwest,Washington,DC,38.9092498,-77.0228988,92,1/1/2055,400,1,,,Bozzuto,http://citymarketato.com/contact/,
DC001001600,Claridge Towers,N,N,1221 M St NW,Washington,DC,38.9058434,-77.0286036,96,,343,1,DC Housing Authority,,,,
800003694,Claypoole Courts (Parcel Five Apartments),N,N,1443 Fairmont St NW,Washington,DC,38.924704,-77.033951,88,6/30/2014,123,0,Parcel Five Associates LP,For Profit,Horning Brothers,http://www.horningbrothers.com/Claypoole-Courts-Apartments.htm,
800003696,Colony House,N,N,4921 Georgia Ave NW,Washington,DC,38.950517,-77.026883,80,9/30/2015,58,1,Colony House Nonprofit Corporation,Non-Profit,NMI Property Management LLC,http://espanol.hud.gov/apps/section8/results.cfm?city_name_text=WASHINGTON&county_name_text=District+Of+Columbia&zip_code=&property_name_text=&client_group_type=&maxrec=20&state_code=DC&statename=District+of+Columbia&start=21,
,Colorado Apartments,N,N,5336 Colorado Ave NW,Washington,DC,38.95545,-77.03471,80,,NA,NA,,,,,
800214338,Colorado Ave NW Cooperative,N,N,5746 Colorado Ave NW,Washington,DC,38.959916,-77.030758,83,11/1/2027,36,1,Colorado Ave NW Cooperative,,,,
,Columbia Court Condominiums,N,N,1225 Fairmont St NW,Washington,DC,38.925035,-77.028862,91,,11,NA,,,,http://neighborhooddevelopment.com/ndc-projects/columbia-court-condominiums,
800215755,Columbia Heights Village Apartments ,N,N,2900 14th St NW,Washington,DC,38.926752,-77.033231,95,5/1/2043,406,2,Columbia Heights Village Apartments LP,For Profit,Clark Realty Management LLC,http://espanol.hud.gov/apps/section8/results.cfm?city_name_text=WASHINGTON&county_name_text=District+Of+Columbia&zip_code=&property_name_text=&client_group_type=&maxrec=20&state_code=DC&statename=District+of+Columbia&start=21,
,Columbia Road Apartments,N,N,1475 Columbia Rd NW,Washington,DC,38.92759,-77.0351,97,,NA,NA,,,,,
,Community Family Life Services Inc (Milestone),N,N,4860 Fort Totten Drive NE,Washington,DC,38.9500301,-77.0072069,49,,NA,NA,,,,,
800003698,Congress Park I (Congress Park Plaza Apartments),N,Y,1320 Congress St SE,Washington,DC,38.842504,-76.9873439,51,11/1/2036,163,1,SE Washington Development Association LP/MidCity Urban,For Profit,Edgewood Management Corporation,http://www.edgewoodmgmt.com/Property-Search.aspx,
800003699,Congress Park II,Y,Y,1313 Congress St SE,Washington,DC,38.841894,-76.987063,51,9/30/2024,214,2,SE Washington Development Associates II LP,For Profit,Edgewood Management Corporation,,
,Crescent Park Village,N,N,2 Elmira St SE,Washington,DC,38.8264525,-77.0071627,71,12/31/2029,110,1,Halley Collanade LP,For Profit,William C Smith & Co,http://www.wcsmith.com/apartment/crescent-park-village/,
,Crestwood Cooperative,N,N,1630 Irving St NW,Washington,DC,38.9284589,-77.037782,95,,NA,NA,,,EJF Managed Properties,http://ejfrealestate.com/learn-about-ejf/ejf-managed-properties,
,Dahlgreen Courts,Y,Y,2520 10th St NE,Washington,DC,38.923182,-76.992733,84,12/31/2026,96,1,Dahlgreen Courts LLC,,Columbus Property Management and Development Inc,http://www.columbuspm.org/Contact.asp,
800003702,Delta Towers,N,N,1400 Florida Ave NE,Washington,DC,38.900511,-76.984064,92,12/4/2032,149,2,Delta Housing Corporation Of DC,Non-Profit,Fort Lincoln Realty Corporation,http://section-8-housing.findthebest.com/l/2514/Delta-Towers,
,DMH - Community Connection,N,N,1605 North Carolina Ave NE,Washington,DC,38.8929199,-76.981739,81,,NA,NA,,,,,
,DMH - Social Services Properties,N,N,2008 3rd St NE,Washington,DC,38.917505,-77.002368,79,,NA,NA,,,,,
800214301,Douglas Knoll Coop,N,Y,1900 Savannah Ter SE,Washington,DC,38.8464799,-76.9770779,68,12/31/2017,185,1,Dahlgreen Courts LLC,,Equity Management,http://www.equitymgmt.com/apartments/washington-dc-apartment-rentals/douglas-knoll/,
800053918,Dupont Park Adventist Apartments (Walter E. Washington Estates),N,N,896 Southern Ave SE,Washington,DC,38.8305066,-76.9899374,46,5/10/2025,45,1,Dupont Park Adventist Apartments,Non-Profit,DELS Management Services,http://espanol.hud.gov/apps/section8/results.cfm?city_name_text=WASHINGTON&county_name_text=District+Of+Columbia&zip_code=&property_name_text=&client_group_type=&maxrec=20&state_code=DC&statename=District+of+Columbia&start=21,
800003705,Edgewood Terrace I,N,Y,601 Edgewood St NE,Washington,DC,38.9239394,-76.9975515,82,5/10/2015,309,2,Edgewood Terrace I Preservation Corp,Non-Profit,Edgewood Management Corporation,http://www.edgewoodmgmt.com/Property-Search.aspx,
,Efforts For Ex-Convicts,N,N,1535 Galen St SE,Washington,DC,38.862735,-76.98302,68,2/24/2010,6,0,,,,,
,El Presidente Apartments Cooperative (Texas Avenue Cooperative),N,N,4715 Texas Ave SE,Washington,DC,38.887918,-76.939638,56,,NA,NA,,,,,
800003708,Eleventh Street Apartments,N,N,1107 11th St NW,Washington,DC,38.904732,-77.026675,96,2/28/2008,31,0,S&H Associates LP,Non-Profit,S&H Associates LP,,
800003704,Elsinore Courtyards Apartments ,N,N,5330 E St SE,Washington,DC,38.8820539,-76.925569,61,12/31/2019,152,1,Neighborhood Partners LLC,For Profit,The CT Group,http://thectgroupllc.com/ElsinoreCourtyard.html,
800218205,Euclid Street Apartments (1030 and 1034 Euclid St NW),N,N,1030 Euclid St NW,Washington,DC,38.923504,-77.026293,89,6/1/2039,17,2,Development Corporation Of Columbia Heights,Non-Profit,,,
800000032,Faircliff Plaza East,N,N,1356 Fairmont St NW,Washington,DC,38.9247434,-77.0313577,90,3/31/2022,80,2,Faircliff Plaza East LP,For Profit,Eagle Point Management LLC,http://espanol.hud.gov/apps/section8/results.cfm?city_name_text=WASHINGTON&county_name_text=District+Of+Columbia&zip_code=&property_name_text=&client_group_type=&maxrec=20&state_code=DC&statename=District+of+Columbia&start=21,
800003709,Faircliff Plaza West,N,N,1400 Euclid St NW,Washington,DC,38.923125,-77.032438,92,3/30/2025,112,1,Faircliff Plaza West LP,For Profit,Eagle Point Management LLC,http://espanol.hud.gov/apps/section8/results.cfm?city_name_text=WASHINGTON&county_name_text=District+Of+Columbia&zip_code=&property_name_text=&client_group_type=&maxrec=20&state_code=DC&statename=District+of+Columbia&start=21,
800218816,Fairmont I & II ,N,N,1400 Fairmont St NW,Washington,DC,38.924276,-77.0327053,92,5/1/2040,205,4,New Fairmont LP,Non-Profit,Richard W Hausler,,
,Fendall Heights,N,N,2025 Fendall St SE,Washington,DC,38.864339,-76.980217,74,,29,NA,So Others Might Eat,Non-Profit,So Others Might Eat,http://some.org/services/,
800003714,Fifteenth Street Cooperative Association I,N,N,1903 15th St NW,Washington,DC,38.915913,-77.0341289,98,9/8/2006,24,0,Fifteenth Street Coop Assoc Inc,Non-Profit,,,
,Finsbury Square Apartments (Cedar Heights),N,Y,1560 Butler St SE,Washington,DC,38.8614249,-76.98364,68,12/31/2021,134,1,Bank Of America Community Development Corporation,Non-Profit,Edgewood Management Corporation,http://www.edgewoodmgmt.com/Property-Search.aspx,
800210966,Forest Cove Apartments,N,N,3229 Buena Vista Ter SE,Washington,DC,38.850192,-76.966267,54,5/1/2041,49,1,,,,,
800003784,Forest Ridge and The Vistas (Stanton-Wellington Apartments),N,N,2549 Elvans Rd SE,Washington,DC,38.8543098,-76.9896951,28,3/31/2016,398,4,Vista Ridge LP,For Profit,Community Management Solutions LLC,http://section-8-housing.findthebest.com/l/2563/Forest-Ridge,
,Fort Chaplin Park,N,N,4212 E Capitol St NE,Washington,DC,38.8898578,-76.9422353,62,12/31/2020,549,1,Fort Chaplin Park LP,For Profit,E&G Group,http://ftchaplinpark.com/,
,Fort Dupont Dwellings and Addition,N,N,155 Ridge Rd SE,Washington,DC,38.885934,-76.949814,53,,NA,NA,,,,,
DC001001640,Fort Lincoln,N,N,2855 Bladensburg Rd NE,Washington,DC,38.9252253,-76.9649844,57,,120,1,DC Housing Authority,,,,
800003717,Fort Lincoln Senior Village I,N,N,3001 Bladensburg Rd NE,Washington,DC,38.928445,-76.959856,42,9/30/2031,187,1,Fort Lincoln Senior Village No I Associates,For Profit,Fort Lincoln Realty Corporation,http://section-8-housing.findthebest.com/l/2524/Fort-Lincoln-Senior-Village-I,
800003715,Fort Lincoln Senior Village II,N,N,3005 Bladensburg Rd NE,Washington,DC,38.92815,-76.959102,52,9/30/2030,177,1,Fort Lincoln Senior Village II LP,For Profit,Fort Lincoln Realty Corporation,http://section-8-housing.findthebest.com/l/2522/Fort-Lincoln-Senior-Village-II,
800003716,Fort Lincoln Senior Village III,N,N,3298 Fort Lincoln Dr NE,Washington,DC,38.921409,-76.956808,30,10/31/2031,306,1,Fort Lincoln Senior Village III LP,For Profit,Fort Lincoln Realty Corporation,http://section-8-housing.findthebest.com/l/2523/Fort-Lincoln-Senior-Village-IIi,
,Fort Stevens Hill Apartments,N,N,1339 Fort Stevens Dr NW,Washington,DC,38.9647344,-77.0323495,79,12/31/2015,59,1,Peak Holdings Group LLC,For Profit,,,
,Fort View Apartments,N,N,6040 13th Pl NW,Washington,DC,38.9638964,-77.0306389,81,12/31/2025,62,1,Somerset Development Company And The Urban Village Tenant Association,For Profit,Eagle Point Management LLC,http://fortviewdc.com/2.html,
800003719,Foster House,N,N,801 Rhode Island Ave NW,Washington,DC,38.912165,-77.0234475,93,2/28/2015,76,1,New Bethel Bapt Church Housing Corporation Inc (payee),Multiple,Key Property Management Services-DC LLC,http://espanol.hud.gov/apps/section8/results.cfm?city_name_text=WASHINGTON&county_name_text=District+Of+Columbia&zip_code=&property_name_text=&client_group_type=&maxrec=20&state_code=DC&statename=District+of+Columbia&start=21,
800003720,Franklin Commons,N,N,101 Franklin St NE,Washington,DC,38.9262867,-77.0057306,72,4/27/2019,100,1,Franklin Commons LP,For Profit,Horning Brothers,http://www.horningbrothers.com/Franklin-Commons-Apartments.htm,
800003721,Frederick Douglass (Douglas Glen Gardens),N,Y,1452 Bangor St SE,Washington,DC,38.8607428,-76.9860766,58,11/30/2020,152,1,Frederick Douglass Housing LP,For Profit,Edgewood Management Corporation,http://www.edgewoodmgmt.com/Property-Search.aspx,
